label,run_dir,n_seeds,test_cal_accuracy,test_cal_macro_f1,test_cal_macro_auroc,test_cal_aurc,test_uncal_ece,test_cal_ece,ece_improvement,test_cal_coverage_at_0_5,test_cal_risk_at_0_5,test_cal_accuracy_mean,test_cal_macro_f1_mean,test_cal_macro_auroc_mean,test_cal_aurc_mean,test_uncal_ece_mean,test_cal_ece_mean
Repair external,/content/drive/MyDrive/TrustQueryNet/artifacts/final_evidence/q1-ham10000-convnext-repair-final-e12-multiseed-external-isic2019-test,5,0.5692 ± 0.0145,0.4427 ± 0.0117,0.8125 ± 0.0180,0.2804 ± 0.0299,0.2152 ± 0.0350,0.2000 ± 0.0253,0.0152,0.8526 ± 0.0230,0.3805 ± 0.0228,0.5692456792117591,0.4426892257661666,0.8124899305256357,0.28036206000133423,0.215225743951387,0.20004136462316358
No repair external,/content/drive/MyDrive/TrustQueryNet/artifacts/final_evidence/q1-ham10000-convnext-no-repair-final-e12-multiseed-external-isic2019-test,5,0.5630 ± 0.0078,0.4288 ± 0.0123,0.8168 ± 0.0154,0.2749 ± 0.0183,0.2014 ± 0.0259,0.2016 ± 0.0123,-0.0002,0.8498 ± 0.0264,0.3838 ± 0.0073,0.5630431271200129,0.42879448441248214,0.8167856660195829,0.27491505009862627,0.20144322753973104,0.20160326079711105
Random repair external,/content/drive/MyDrive/TrustQueryNet/artifacts/final_evidence/q1-ham10000-convnext-random-repair-final-e12-multiseed-external-isic2019-test,5,0.5591 ± 0.0203,0.4311 ± 0.0328,0.8114 ± 0.0337,0.2905 ± 0.0669,0.2072 ± 0.0499,0.2149 ± 0.0395,-0.0077,0.8654 ± 0.0383,0.3964 ± 0.0269,0.5591019221450493,0.43107988707304373,0.8113581941052324,0.29046399773888915,0.2072024022670232,0.2149373330749924
