metric,n,mean,std,min,max
realized_flip_rate,5.0,0.04396698918611269,0.004016959081813633,0.03927148548662493,0.04780876494023904
best_val_accuracy,5.0,0.8374167776298268,0.005657162659453557,0.829560585885486,0.8448735019973369
best_val_macro_f1,5.0,0.7249691817625653,0.018980315753398043,0.6979071524599665,0.7507563145150369
best_val_ece,5.0,0.045691408143538774,0.008865134889142406,0.03383049075200301,0.05874321769461652
best_val_macro_auroc,5.0,0.9474406837463683,0.010864716998214024,0.9368667857871579,0.9609522655451869
best_val_aurc,5.0,0.0636234027981928,0.015588558428899169,0.050185718639696224,0.08801277064931955
test_uncal_accuracy,5.0,0.8350168350168351,0.00588985039883364,0.8303030303030303,0.8424242424242424
test_uncal_macro_f1,5.0,0.715165458979348,0.021584487210837135,0.691629127296458,0.748475595281957
test_uncal_ece,5.0,0.04326048954568727,0.0076740624343675234,0.031171212433163144,0.051111122213228784
test_uncal_macro_auroc,5.0,0.938546943520189,0.013044719019231165,0.924160750231619,0.9532512249146355
test_uncal_aurc,5.0,0.07374566519692474,0.020088970356115333,0.05005714233913459,0.09522839816905339
test_cal_accuracy,5.0,0.8350168350168351,0.00588985039883364,0.8303030303030303,0.8424242424242424
test_cal_macro_f1,5.0,0.715165458979348,0.021584487210837135,0.691629127296458,0.748475595281957
test_cal_ece,5.0,0.044497152291965804,0.008977558645550094,0.032915297853023544,0.056062393437330965
test_cal_macro_auroc,5.0,0.9382467487156042,0.013292673878637912,0.9233910401972949,0.9531371123163677
test_cal_aurc,5.0,0.07277594255008572,0.01860275810905853,0.0501038538898964,0.09438148327533546
test_cal_coverage_at_0_5,5.0,0.9524579124579124,0.0074165844591290815,0.9420875420875421,0.9616161616161616
test_cal_risk_at_0_5,5.0,0.1427964192391092,0.005437932878706485,0.1368794326241135,0.14985994397759106
