label,run_dir,n_seeds,test_cal_accuracy,test_cal_macro_f1,test_cal_macro_auroc,test_cal_aurc,test_uncal_ece,test_cal_ece,ece_improvement,test_cal_coverage_at_0_5,test_cal_risk_at_0_5,test_cal_accuracy_mean,test_cal_macro_f1_mean,test_cal_macro_auroc_mean,test_cal_aurc_mean,test_uncal_ece_mean,test_cal_ece_mean
Repair,/content/drive/MyDrive/TrustQueryNet/artifacts/final_evidence/q1-ham10000-convnext-repair-final-e12-multiseed,5,0.8350 ± 0.0059,0.7152 ± 0.0216,0.9382 ± 0.0133,0.0728 ± 0.0186,0.0433 ± 0.0077,0.0445 ± 0.0090,-0.0012,0.9525 ± 0.0074,0.1428 ± 0.0054,0.8350168350168351,0.715165458979348,0.9382467487156042,0.07277594255008572,0.04326048954568727,0.044497152291965804
Clean upper,/content/drive/MyDrive/TrustQueryNet/artifacts/final_evidence/q1-ham10000-convnext-clean-upper-final-e12-multiseed,3,0.8521 ± 0.0055,0.7330 ± 0.0288,0.9583 ± 0.0076,0.0502 ± 0.0095,0.0388 ± 0.0106,0.0389 ± 0.0176,-0.0001,0.9618 ± 0.0107,0.1306 ± 0.0089,0.8520763187429855,0.7329588658425975,0.9583378519310167,0.05018281768565797,0.03882680283117238,0.03888051194106421
GCE no repair,/content/drive/MyDrive/TrustQueryNet/artifacts/final_evidence/q1-ham10000-convnext-gce-no-repair-final-e12-multiseed,3,0.6774 ± 0.0012,0.1224 ± 0.0122,0.5782 ± 0.1279,0.2399 ± 0.1059,0.3114 ± 0.0204,0.0268 ± 0.0381,0.2846,0.9639 ± 0.0626,0.3044 ± 0.0327,0.6774410774410775,0.12235555848588092,0.5781641016632354,0.2398992222434704,0.3114244526885575,0.026831926005724174
